V-LIEF2210332 Allied Feather & Down Corporation - Geb. Verkaufslieferung																									
Art	Nr.	Virtuelle Partie	Beschreibung	Beschreibung 2	Lagerortcode	Menge	Säcke	Einheitencode	Menge fakturiert	Geplantes Lieferdatum	Geplantes Warenausgangsdatum	Warenausg.-Datum	Geschäftsbuchungsgruppe	VK-Preis	Währungscode	MwSt.-Geschäftsbuchungsgruppe									
Artikel	33906M	33906	 GRS recycled grey down abt. 75%	GRS RECYCLED GREY DOWN	ROHDEX	1.361,00	44,00	KG	1.361,00	12/7/2022	12/7/2022	12/7/2022	EXPORT	27,30	USD	EXPORT									
Artikel	33876M	33876	 GRS washed recycled grey down abt. 80%	GRS WASHED RECYCLED GREY DOWN	ROHDEX	3.919,60	128,00	KG	3.919,60	12/7/2022	12/7/2022	12/7/2022	EXPORT	37,75	USD	EXPORT									
Artikel	33880M	33880	 GRS recycled grey down abt. 57%	GRS RECYCLED GREY DOWN	ROHDEX	4.141,20	104,00	KG	4.141,20	12/7/2022	12/7/2022	12/7/2022	EXPORT	22,50	USD	EXPORT									
																									
																									
																									
			2210331																						
			CAIU 427340-6 																						
			GW220326																						
			 NYK Romulus																						
