Packing List in accordance with Invoice No. 2410270,,,,,
,,,,,
Container No.ONEU 029438-6,,,,CIF LOS ANGELES,
,,,,,
GRS RECYCLED GREY DOWN,,,,,
 acc. to Sample No. 36223,,,,,
,,,,,
Bundle No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,271.00 kg,3.60 kg,267.40 kg,2.2046,589.51lbs
2,268.40 kg,3.60 kg,264.80 kg,2.2046,583.78lbs
3,273.80 kg,3.60 kg,270.20 kg,2.2046,595.68lbs
4,274.00 kg,3.60 kg,270.40 kg,2.2046,596.12lbs
5,274.60 kg,3.60 kg,271.00 kg,2.2046,597.45lbs
6,274.60 kg,3.60 kg,271.00 kg,2.2046,597.45lbs
7,274.00 kg,3.60 kg,270.40 kg,2.2046,596.12lbs
8,270.40 kg,3.60 kg,266.80 kg,2.2046,588.19lbs
9,151.80 kg,2.00 kg,149.80 kg,2.2046,330.25lbs
10,149.60 kg,2.00 kg,147.60 kg,2.2046,325.40lbs
11,149.00 kg,2.00 kg,147.00 kg,2.2046,324.08lbs
12,180.40 kg,2.40 kg,178.00 kg,2.2046,392.42lbs
13,176.20 kg,2.40 kg,173.80 kg,2.2046,383.16lbs
14,180.40 kg,2.40 kg,178.00 kg,2.2046,392.42lbs
15,185.80 kg,2.40 kg,183.40 kg,2.2046,404.32lbs
16,190.20 kg,2.80 kg,187.40 kg,2.2046,413.14lbs
17,182.60 kg,2.40 kg,180.20 kg,2.2046,397.27lbs
18,183.00 kg,2.40 kg,180.60 kg,2.2046,398.15lbs
18 Bundles,"3,909.80 kg",52.00 kg,"3,857.80 kg",,8504.91lbs
,8619.55lbs,,8504.91lbs,,
,,,,,
,,,,,
GRS RECYCLED GREY DOWN,,,,,
 acc. to Sample No. 36224,,,,,
,,,,,
Bundle No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,272.80 kg,3.60 kg,269.20 kg,2.2046,593.48lbs
2,273.20 kg,3.60 kg,269.60 kg,2.2046,594.36lbs
3,271.60 kg,3.60 kg,268.00 kg,2.2046,590.83lbs
4,270.80 kg,3.60 kg,267.20 kg,2.2046,589.07lbs
5,272.40 kg,3.60 kg,268.80 kg,2.2046,592.60lbs
6,271.60 kg,3.60 kg,268.00 kg,2.2046,590.83lbs
7,272.00 kg,3.60 kg,268.40 kg,2.2046,591.71lbs
8,269.80 kg,3.60 kg,266.20 kg,2.2046,586.86lbs
9,270.00 kg,3.60 kg,266.40 kg,2.2046,587.31lbs
10,271.60 kg,3.60 kg,268.00 kg,2.2046,590.83lbs
11,271.80 kg,3.60 kg,268.20 kg,2.2046,591.27lbs
12,281.00 kg,4.00 kg,277.00 kg,2.2046,610.67lbs
13,284.80 kg,4.00 kg,280.80 kg,2.2046,619.05lbs
14,300.00 kg,4.00 kg,296.00 kg,2.2046,652.56lbs
14 Bundles,"3,853.40 kg",51.60 kg,"3,801.80 kg",,8381.45lbs
,8495.21lbs,,8381.45lbs,,
